"source","Sex_sys","Species","Site","Ind","Avg_area","Avg_diam","Sd_diam","N_diam","Date","Label","Observer","Anth_per_flw","count_method","Avg_pol_anth","Sd_pol_anth"
"CS2021","dioecious","Rumex acetosella","KM","1",401.219330891331,22.3889325291158,3.09769830901059,819,"8 July 2022","1","Jeremiah",6,"auto",10474.537037037,4804.02367001537
"CS2021","dioecious","Rumex acetosella","KM","10",376.160561797753,21.620143685898,3.39769293925006,356,"8 July 2022","10","Jeremiah",6,"auto",6451.38888888889,1393.85224255445
"CS2021","dioecious","Rumex acetosella","KM","2",238.2925,17.310933780437,1.93452132027528,508,"8 July 2022","2","Jeremiah",6,"auto",14958.3333333333,791.392496384274
"CS2021","dioecious","Rumex acetosella","KM","3",305.770037593985,19.4966525011892,3.04445963026679,133,"8 July 2022","3","Jeremiah",6,"auto",6166.66666666667,62.5
"CS2021","dioecious","Rumex acetosella","KM","4",325.912559084195,19.965283176256,4.04528267815874,1354,"8 July 2022","4","Jeremiah",6,"auto",9682.87037037037,1316.37068872087
"CS2021","dioecious","Rumex acetosella","KM","5",216.401075313808,16.4038242534979,2.5400206925591,956,"8 July 2022","5","Jeremiah",6,"auto",9493.05555555555,1484.36586254498
"CS2021","dioecious","Rumex acetosella","KM","6",271.892779220779,18.1329390152141,4.17178180068066,770,"8 July 2022","6","Jeremiah",6,"auto",8185.18518518519,1431.16222303482
"CS2021","dioecious","Rumex acetosella","KM","7",184.210721115538,14.9740899342891,3.21905100140077,251,"8 July 2022","7","Jeremiah",6,"auto",5173.61111111111,1599.35244419132
"CS2021","dioecious","Rumex acetosella","KM","9",208.049278321678,16.0299858089486,2.81908467350925,715,"8 July 2022","9","Jeremiah",6,"auto",5532.40740740741,936.406254989103
"CS2021","dioecious","Thalictrum dioicum","BI","10",212.387896774194,16.4036906923105,1.16116293975909,155,"7 May 2022","10","Jeremiah",26,"auto",23860,4463.04828564514
"CS2021","dioecious","Thalictrum dioicum","BI","3",173.238685297691,14.768274980066,1.57334252363277,823,"7 May 2022","3","Jeremiah",26,"auto",31580,4850.91743900059
"CS2021","dioecious","Thalictrum dioicum","BI","4",211.120166666667,16.3179089338884,1.59319444451068,432,"7 May 2022","4","Jeremiah",19,"auto",17660,4993.53582143955
"CS2021","dioecious","Thalictrum dioicum","BI","5",221.153332023576,16.714784320657,1.48373784760191,509,"7 May 2022","5","Jeremiah",22,"auto",18060,1959.43869513695
"CS2021","dioecious","Thalictrum dioicum","BI","6",223.315681818182,16.8097565439769,1.33669215358865,88,"7 May 2022","6","Jeremiah",27,"auto",13020,1571.78242769157
"CS2021","dioecious","Thalictrum dioicum","BI","8",191.119860576923,15.3937126798492,2.53096250029019,208,"7 May 2022","8","Jeremiah",16,"auto",15860,3311.02703099809
"CS2021","dioecious","Thalictrum dioicum","BI","9",226.173741042345,16.9048934222468,1.4831455632656,1228,"7 May 2022","9","Jeremiah",27,"auto",26980,3323.23637437965
"CS2021","hermaphroditic","Chenopodium album","FBF1","1",500.930538461538,25.1943695912377,1.76297545394025,52,"22 Jul 2021","M1","Jeremiah",5,"manual",1936,222.279103831197
"CS2021","hermaphroditic","Chenopodium album","FBF1","2",531.71875,25.9482244432519,1.94950211308145,36,"22 Jul 2021","M2","Jeremiah",5,"manual",1568,110.851251684408
"CS2021","hermaphroditic","Chenopodium album","FBF1","3",514.930531914894,25.587690192614,0.958953819906359,47,"22 Jul 2021","M3","Jeremiah",5,"manual",1696,204.274325356859
"CS2021","hermaphroditic","Chenopodium album","FBF1","4",556.195,26.5893969881118,1.12127306118812,15,"22 Jul 2021","M4","Jeremiah",5,"manual",1093.33333333333,172.572689998543
"CS2021","hermaphroditic","Chenopodium album","FBF1","5",487.009166666667,24.858627951771,1.48368576604342,30,"22 Jul 2021","M5","Jeremiah",5,"manual",1541.33333333333,117.937836733312
"CS2021","hermaphroditic","Chenopodium album","FBF1","6",525.938695652174,25.8367073586165,1.48540567381832,23,"22 Jul 2021","M6","Jeremiah",5,"manual",1061.33333333333,120.088855991442
"CS2021","hermaphroditic","Chenopodium album","FBF1","7",547.838857142857,26.4045156259931,0.590113712908253,21,"22 Jul 2021","M7","Jeremiah",5,"manual",1434.66666666667,153.744376590929
"CS2021","hermaphroditic","Chenopodium album","FBF1","8",579.5105,27.1466481441727,0.992762895242132,14,"22 Jul 2021","M8","Jeremiah",5,"manual",1472,120.797350964332
"CS2021","hermaphroditic","Chenopodium album","FBF1","9",490.460705882353,24.9627998478289,1.1899060790464,17,"22 Jul 2021","M9","Jeremiah",5,"manual",1397.33333333333,175.514481833646
"CS2021","hermaphroditic","Chenopodium album","FBF2","1",566.772631578947,26.7900628437787,2.03670955083022,19,"23 Jul 2021","M1","Jeremiah",5,"manual",1621.33333333333,200.053326224118
"CS2021","hermaphroditic","Chenopodium album","FBF2","10",554.523038461538,26.5476525351709,1.1460009354597,26,"23 Jul 2021","M10","Jeremiah",5,"manual",1616,338.656167816268
"CS2021","hermaphroditic","Chenopodium album","FBF2","2",503.474290322581,25.2570818060019,1.79646913021498,31,"23 Jul 2021","M2","Jeremiah",5,"manual",1786.66666666667,268.844440770743
"CS2021","hermaphroditic","Chenopodium album","FBF2","3",545.9874,26.3551911475807,0.779100818838878,20,"23 Jul 2021","M3","Jeremiah",5,"manual",1498.66666666667,48.8808074128623
"CS2021","hermaphroditic","Chenopodium album","FBF2","4",599.909722222222,27.5680347422925,2.01436542246987,18,"23 Jul 2021","M4","Jeremiah",5,"manual",1701.33333333333,217.231059780441
"CS2021","hermaphroditic","Chenopodium album","FBF2","5",536.578192307692,26.1171824725764,1.06243451662774,26,"23 Jul 2021","M5","Jeremiah",5,"manual",1322.66666666667,96.4434203734672
"CS2021","hermaphroditic","Chenopodium album","FBF2","6",611.53725,27.8351319440625,2.01019491990838,20,"23 Jul 2021","M6","Jeremiah",5,"manual",1349.33333333333,355.017370467043
"CS2021","hermaphroditic","Chenopodium album","FBF2","7",514.414941176471,25.557105131854,1.36477298353153,34,"23 Jul 2021","M7","Jeremiah",5,"manual",1850.66666666667,339.536939571136
"CS2021","hermaphroditic","Chenopodium album","FBF2","8",591.9495,27.4431143682086,0.77618000767524,18,"23 Jul 2021","M8","Jeremiah",5,"manual",1509.33333333333,97.7616148257246
"CS2021","hermaphroditic","Chenopodium album","FBF2","9",660.815833333333,28.9701880876891,1.49294326590748,18,"23 Jul 2021","M9","Jeremiah",5,"manual",1530.66666666667,96.4434203734673
"CS2021","hermaphroditic","Plantago lanceolata","FBF","1",590.1502,27.2754470578544,2.78623098310184,25,"18 Aug 2021","A1","Claire",4,"manual",12400,1801.33283987163
"CS2021","hermaphroditic","Plantago lanceolata","FBF","10",414.927666666667,22.7998979109645,3.56376949050164,3,"18 Aug 2021","A10","Claire",4,"manual",17600,1864.18883163697
"CS2021","hermaphroditic","Plantago lanceolata","FBF","2",410.875571428571,22.5787928540925,3.71957726238959,28,"18 Aug 2021","A2","Claire",4,"manual",8026.66666666667,1687.75985653568
"CS2021","hermaphroditic","Plantago lanceolata","FBF","3",375.008153846154,21.7211432524568,2.42772172139961,26,"18 Aug 2021","A3","Claire",4,"manual",13680,634.980314655502
"CS2021","hermaphroditic","Plantago lanceolata","FBF","4",439.007809523809,23.5148243155092,2.51314503982829,21,"18 Aug 2021","A4","Claire",4,"manual",15280,2643.63386269733
"CS2021","hermaphroditic","Plantago lanceolata","FBF","5",499.485111111111,25.016079444473,3.38082242783208,9,"18 Aug 2021","A5","Claire",4,"manual",13360,2164.43988135499
"CS2021","hermaphroditic","Plantago lanceolata","FBF","6",408.441111111111,22.5756708928399,3.26788919035325,36,"18 Aug 2021","A6","Claire",4,"manual",12400,1183.8918869559
"CS2021","hermaphroditic","Plantago lanceolata","FBF","7",373.53,21.5850339946582,3.2999104410079,9,"18 Aug 2021","A7","Claire",4,"manual",7560,2186.86990925386
"CS2021","hermaphroditic","Plantago lanceolata","FBF","8",447.203373333333,23.8048341181018,1.66245059161067,75,"18 Aug 2021","S8","Claire",4,"manual",11280,960
"CS2021","hermaphroditic","Plantago lanceolata","FBF","9",395.953838709677,22.1629142765996,3.65799944956874,31,"18 Aug 2021","A9","Claire",4,"manual",16720,1207.97350964332
"CS2021","hermaphroditic","Plantago lanceolata","KM","10",354.609566326531,21.19355609379,1.532345555843,196,"31 Jul 2021","M10","Claire",4,"manual",13500,1095.44511501033
"CS2021","hermaphroditic","Plantago lanceolata","KM","11",368.921439189189,21.6044739760907,1.72982301190597,148,"31 Jul 2021","M11","Claire",4,"manual",6016.66666666667,1531.55694202555
"CS2021","hermaphroditic","Plantago lanceolata","KM","12",372.240904347826,21.6189946854149,2.56896911205113,230,"31 Jul 2021","M12","Claire",4,"manual",10383.3333333333,1270.52840355595
"CS2021","hermaphroditic","Plantago lanceolata","KM","13",333.064928802589,20.5641181523977,1.09194397333251,309,"31 Jul 2021","M13","Claire",4,"manual",10058.3333333333,1326.27868546364
"CS2021","hermaphroditic","Plantago lanceolata","KM","2",283.264864197531,18.9332217926214,1.49151048362384,81,"31 Jul 2021","M2","Claire",4,"manual",15247.619047619,2877.25894691789
"CS2021","hermaphroditic","Plantago lanceolata","KM","3",335.253018867925,20.626363362855,1.18990691888131,265,"31 Jul 2021","M3","Claire",4,"manual",10900,787.400787401181
"CS2021","hermaphroditic","Plantago lanceolata","KM","5",309.262279569892,19.7746596947056,1.66055652725137,93,"31 Jul 2021","M5","Claire",4,"manual",11716.6666666667,785.917722580848
"CS2021","hermaphroditic","Plantago lanceolata","KM","7",327.104467532468,20.3167233872067,1.93322598748476,154,"31 Jul 2021","M7","Claire",4,"manual",11888.8888888889,1051.71817095223
"CS2021","hermaphroditic","Plantago lanceolata","QMP","1",421.961117647059,23.0951091922898,1.99772167695652,34,"20 Aug 2021","A1","Claire",4,"manual",16480,4815.97342185357
"CS2021","hermaphroditic","Plantago lanceolata","QMP","10",393.559076923077,22.3375467990069,1.47045852997986,65,"20 Aug 2021","A10","Claire",4,"manual",10560,794.648769373405
"CS2021","hermaphroditic","Plantago lanceolata","QMP","2",419.624461538462,23.0204064755173,2.16916790732606,13,"20 Aug 2021","A2","Claire",4,"manual",10400,1108.51251684408
"CS2021","hermaphroditic","Plantago lanceolata","QMP","3",479.334875,24.5717330573077,2.61195630453449,24,"20 Aug 2021","A3","Claire",4,"manual",10960,1082.21994067749
"CS2021","hermaphroditic","Plantago lanceolata","QMP","4",433.309694444444,23.4310222992232,1.66469521444591,36,"20 Aug 2021","A4","Claire",4,"manual",10640,1009.55435712992
"CS2021","hermaphroditic","Plantago lanceolata","QMP","5",443.3703,23.6988017344608,1.72708502829981,30,"20 Aug 2021","A5","Claire",4,"manual",11200,1125.81822096938
"CS2021","hermaphroditic","Plantago lanceolata","QMP","6",449.74,23.8749267689881,1.63991712758669,36,"20 Aug 2021","A6","Claire",4,"manual",15946.6666666667,605.750223552029
"CS2021","hermaphroditic","Plantago lanceolata","QMP","7",425.312424242424,23.2160671314376,1.61807373827727,33,"20 Aug 2021","A7","Claire",4,"manual",11573.3333333333,646.632301492381
"CS2021","hermaphroditic","Plantago lanceolata","QMP","8",431.113,23.3833869479479,1.49131878664563,23,"20 Aug 2021","A8","Claire",4,"manual",9720,917.96877216312
"CS2021","hermaphroditic","Plantago lanceolata","QMP","9",382.168444444444,21.982346308612,1.8560663090499,45,"20 Aug 2021","A9","Claire",4,"manual",9066.66666666667,1341.83953337697
"CS2021","monoecious","Amaranthus retroflexus","FBF","1",450.9976,23.9614289004619,0.312057584351818,5,"17 Jul 2021","A1","Claire",5,"manual",2213.33333333333,520.512567891817
"CS2021","monoecious","Amaranthus retroflexus","FBF","10",548.044714285714,26.404130187605,0.846441653200751,7,"17 Jul 2021","A10","Jeremiah",5,"manual",1653.33333333333,520.512567891817
"CS2021","monoecious","Amaranthus retroflexus","FBF","2",514.5675,25.4943211647821,2.43950294292105,8,"17 Jul 2021","A2","Claire",5,"manual",2800,486.621002423858
"CS2021","monoecious","Amaranthus retroflexus","FBF","3",559.096285714286,26.6745990169623,0.619794722973341,7,"17 Jul 2021","A3","Claire",5,"manual",2373.33333333333,46.1880215351701
"CS2021","monoecious","Amaranthus retroflexus","FBF","4",451.834857142857,23.9732957075272,0.819115891734493,7,"17 Jul 2021","A4","Claire",5,"manual",2400,366.606055596467
"CS2021","monoecious","Amaranthus retroflexus","FBF","5",459.678333333333,24.1348039469128,1.74518672156493,12,"17 Jul 2021","A5","Claire",5,"manual",3306.66666666667,46.1880215351701
"CS2021","monoecious","Amaranthus retroflexus","FBF","6",554.2282,26.4689900002493,2.370613941599,10,"17 Jul 2021","A6","Claire",5,"manual",2053.33333333333,92.3760430703401
"CS2021","monoecious","Amaranthus retroflexus","FBF","7",502.330833333333,25.2663820850759,1.19870824009299,6,"17 Jul 2021","A7","Jeremiah",5,"manual",2773.33333333333,884.835201228643
"CS2021","monoecious","Amaranthus retroflexus","FBF","8",622.3435,28.1492792290705,0.144454094502152,2,"17 Jul 2021","A8","Jeremiah",5,"manual",1466.66666666667,323.316150746191
"CS2021","monoecious","Amaranthus retroflexus","FBF","9",524.306923076923,25.820886746972,0.959665884567837,13,"17 Jul 2021","A9","Jeremiah",5,"manual",3733.33333333333,789.2612579706
"CS2021","monoecious","Amaranthus retroflexus","FBF2","1",443.837833333333,23.7378185230341,1.33260617536617,12,"16 Aug 2021","A1","Claire",5,"manual",3200,277.12812921102
"CS2021","monoecious","Amaranthus retroflexus","FBF2","2",408.639941176471,22.7073224639215,2.22848976497428,17,"16 Aug 2021","A2","Claire",5,"manual",3440,301.99337741083
"CS2021","monoecious","Amaranthus retroflexus","FBF2","3",379.6580625,21.9172343621785,1.76868723057963,32,"16 Aug 2021","A3","Claire",5,"manual",2826.66666666667,122.202018532156
"CS2021","monoecious","Amaranthus retroflexus","FBF2","4",427.144,23.3001200524153,1.01733161341488,14,"16 Aug 2021","A4","Claire",5,"manual",2666.66666666667,280.95076674274
"CS2021","monoecious","Amaranthus retroflexus","FBF2","5",456.491166666667,24.0156846167048,2.31590093395887,6,"16 Aug 2021","A5","Claire",5,"manual",2586.66666666667,378.065250100209
"CS2021","monoecious","Amaranthus retroflexus","FBF2","6",437.627375,23.538679506148,1.89285779874642,8,"16 Aug 2021","A6","Claire",5,"manual",2880,80
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","1",235.769702702703,17.3153563040832,0.616454125188753,37,"14 Aug 2021","1","Claire",5,"manual",3424,99.9199679743744
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","2",230.245,17.1058563410573,0.749892209391267,36,"14 Aug 2021","2","Claire",5,"manual",3448,1161.54380029339
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","3",260.54521875,18.1989246544079,0.743569162356439,32,"14 Aug 2021","3","Claire",5,"manual",3200,530.901120737186
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","4",227.865866666667,17.0079366748781,0.958750525435469,15,"14 Aug 2021","4","Claire",5,"manual",3248,375.147970806187
"CS2021","monoecious","Ambrosia artemisiifolia","FBF","5",253.563348837209,17.9624264953095,0.450371305317916,43,"14 Aug 2021","5","Claire",5,"manual",2280,467.230136014363
"CS2021","monoecious","Ambrosia artemisiifolia","LP","1",262.363105263158,18.2706397785869,0.49784272684053,19,"20 Sept 2021","1","Claire",5,"manual",2556,491.658418009903
"CS2021","monoecious","Ambrosia artemisiifolia","LP","2",276.939947368421,18.7599917722788,0.843222094021776,19,"20 Sept 2021","2","Claire",5,"manual",3076,459.5023394935
"CS2021","monoecious","Ambrosia artemisiifolia","LP","3",234.868428571429,17.2809959587951,0.652817049228059,28,"20 Sept 2021","3","Claire",5,"manual",2968,140.627166649976
"CS2021","monoecious","Ambrosia artemisiifolia","LP","4",253.342176470588,17.9464246664584,0.722366989787675,17,"20 Sept 2021","4","Claire",5,"manual",3016,69.2820323027551
"CS2021","monoecious","Ambrosia artemisiifolia","LP","5",236.554545454545,17.343347976908,0.646434162380224,22,"20 Sept 2021","5","Claire",5,"manual",2536,60.398675482166
