Species,Plant,Flower,Flower_height,Flower_min,Flower_max,D1,D2,D3,D4,D5,Stems,Stage,Date,Time,Population,Site,Observer
Plantago major,1,A,6,9.5,6,16,10,15,26,35,2,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,1,B,7.5,9.5,6,16,10,15,26,35,2,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,1,C,9,9.5,6,16,10,15,26,35,2,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,2,A,4,2.5,5,14,8,16,17,22,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,2,B,4.5,2.5,5,14,8,16,17,22,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,2,C,5,2.5,5,14,8,16,17,22,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,3,A,4,3.5,8,8,11,11,7,14,2,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,3,B,5.5,3.5,8,8,11,11,7,14,2,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,3,C,7,3.5,8,8,11,11,7,14,2,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,4,A,5,4,7,16,18,23,24,25,1,2,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,4,B,5.5,4,7,16,18,23,24,25,1,2,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,4,C,6,4,7,16,18,23,24,25,1,2,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,5,A,4,4,5.5,4,5,10,12,10,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,5,B,5,4,5.5,4,5,10,12,10,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,5,C,5.5,4,5.5,4,5,10,12,10,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,6,A,5.5,4.5,7.5,11,9,10,15,17,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,6,B,6,4.5,7.5,11,9,10,15,17,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,6,C,7.5,4.5,7.5,11,9,10,15,17,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,7,A,4,4,6.5,4,11,9,12,13,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,7,B,5,4,6.5,4,11,9,12,13,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,7,C,6,4,6.5,4,11,9,12,13,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,8,A,4.5,3.5,6,3,14,15,13,14,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,8,B,5,3.5,6,3,14,15,13,14,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,8,C,6,3.5,6,3,14,15,13,14,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,9,A,5,4.5,6,5,17,18,11,18,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,9,B,5,4.5,6,5,17,18,11,18,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,9,C,6,4.5,6,5,17,18,11,18,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,10,A,5,5,7.5,28,32,32,23,28,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,10,B,6,5,7.5,28,32,32,23,28,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,10,C,7,5,7.5,28,32,32,23,28,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,11,A,5,5,6.5,3,8,9,9,8,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,11,B,5.5,5,6.5,3,8,9,9,8,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,11,C,6,5,6.5,3,8,9,9,8,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,12,A,5.5,5,7.5,7,8,8,11,13,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,12,B,6,5,7.5,7,8,8,11,13,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,12,C,7,5,7.5,7,8,8,11,13,1,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,13,A,5.5,5,7,5,5,21,21,19,2,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,13,B,6,5,7,5,5,21,21,19,2,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,13,C,6.5,5,7,5,5,21,21,19,2,3,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,14,A,6,5.5,8,11,20,23,28,31,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,14,B,6.5,5.5,8,11,20,23,28,31,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,14,C,7.5,5.5,8,11,20,23,28,31,1,1,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,15,A,6,6.5,8,4,11,10,21,18,1,2,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,15,B,7,6.5,8,4,11,10,21,18,1,2,2021-07-16,4:00 PM,Biosci,Biosci1,Claire
Plantago major,15,C,7.5,6.5,8,4,11,10,21,18,1,2,2021-07-16,4:00 PM,Biosci,Biosci1,Claire